Name,Partido,,TRASPASO DESDE GASTOS OPERACIONALES A ASIGNACIÓN PERSONAL DE APOYO,TELEFONÍA,TRASLACIÓN,DIFUSIÓN,ACTIVIDADES DESTINADAS A LA INTERACCIÓN CON LA COMUNIDAD,ARRIENDO DE INMUEBLE,CONSUMOS BÁSICOS,EQUIPAMIENTO OFICINA PARLAMENTARIA,MATERIALES DE OFICINA,CORRESPONDENCIA,GASTOS DE MANTENCIÓN OFICINA PARLAMENTARIA (INMUEBLE),REPARACIONES LOCATIVAS DEL INMUEBLE,HABILITACIÓN DE SEDES PARLAMENTARIAS (CON AUTORIZACIÓN DE CRAP),SEGUROS DE BIENES,ARRIENDO DE OFICINAS VIRTUALES,SERVICIOS WEB,CONTRATACIÓN SERVICIO DE ALMACENAMIENTO,ARRIENDO DE OFICINA MÓVIL,MANTENCION Y REPARACIÓN DE OFICINA MÓVIL,SERVICIOS MENORES,COVID-19 PERSONAL DE APOYO
Sra. Helia Molina,PPD,,2025114,0,2235783,0,0,0,0,336267,110630,762,0,0,0,0,0,0,0,0,0,500000,0
Sra. Javiera Morales,PCS,,619901,0,1320004,0,0,1970833,0,3611830,121689,0,0,0,0,0,0,0,0,0,0,500000,0
Sra. Carla Morales,RN,,2420768,2577,1744650,848000,0,255555,0,1300072,270506,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Benjamín Moreno,PREP,,0,50542,776589,69993,0,682950,0,0,143218,0,0,0,0,0,0,0,0,0,0,500000,0
Sra. Camila Musante,IND,,2392883,0,1170126,0,0,1000000,0,276845,143960,0,0,0,0,0,0,0,0,0,0,0,0
Sra. Gloria Naveillan,IND,,52232,295797,2260501,1129913,0,580000,0,191860,157160,0,0,0,0,0,0,0,0,0,0,500000,0
Sra. Ericka Ñanco,RD,,0,741274,471726,0,0,1151972,0,1759980,4580,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Mauricio Ojeda,IND,,747703,78870,2274906,0,0,0,0,0,24208,0,0,0,0,0,0,0,0,0,0,498991,0
Sr. Rubén Darío Oyarzo,PDG,,0,624489,2146417,1609342,0,0,0,0,4415,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Hernán Palma,IND,,2174545,297830,1285797,0,0,600000,20350,0,52339,0,0,0,0,0,0,0,0,0,0,499187,0
Sra. Marlene Pérez,IND,,0,794339,1422138,0,0,1166667,0,1710183,0,0,0,246330,0,0,0,0,0,0,0,500000,0
Sr. Víctor Alejandro Pino,PDG,,27868,124113,2953396,756353,0,1175258,0,338960,6023,0,0,0,0,0,0,0,42990,0,0,500000,0
Sra. Lorena Pizarro,PC,,421503,410925,1439404,1500000,0,0,0,275000,99062,0,0,0,0,0,0,0,0,0,0,0,0
Sra. Alejandra Placencia,PC,,0,58576,1163112,0,40050,806433,0,2738282,220270,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Francisco Pulgar,IND,,0,0,763209,36821,0,0,0,0,62945,6059,0,0,0,0,0,0,0,0,0,500000,0
Sr. Matías Ramírez,PC,,1787292,0,1182324,595000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0
Sra. Marcia Raphael,RN,,4925,871150,2563383,0,0,1777777,208990,0,68095,0,0,0,0,0,0,0,0,0,0,500000,0
Sra. Marcela Riquelme,IND,,0,183271,959026,400000,0,1511111,0,867692,0,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Agustín Romero,PREP,,2106061,232924,1693389,3114,0,0,0,608778,129948,0,0,0,0,0,0,0,0,0,0,500000,0
